"year","id","author"
1995,11,"Felix Dannegger"
1995,11,"Artur Klinger"
1995,11,"Kurt Ulm"
1995,1,"Ludwig Fahrmeir"
1995,1,"Christian Gieger"
1995,1,"Artur Klinger"
1995,12,"Ludwig Fahrmeir"
1995,12,"Artur Klinger"
1995,9,"Ludwig Fahrmeir"
1995,9,"L. Pritscher"
1995,7,"Ludwig Fahrmeir"
1995,7,"Stefan Wagenpfeil"
1995,5,"Ludwig Fahrmeir"
1995,5,"Stefan Wagenpfeil"
1995,8,"Leonhard Held"
1995,2,"Leonhard Held"
1995,4,"Helmut Küchenhoff"
1995,4,"Markus Thamerus"
1995,3,"Helmut Pruscha"
1995,10,"M. Spiess"
1995,10,"Alfred Hamerle"
1995,6,"Stefan Wagenpfeil"
1996,44,"Sibel Aydemir"
1996,44,"Ülker Aydemir"
1996,44,"Peter Dirschedl"
1996,25,"Sibel Aydemir"
1996,25,"Ülker Aydemir"
1996,25,"Peter Dirschedl"
1996,31,"Clemens Biller"
1996,31,"Ludwig Fahrmeir"
1996,23,"Claudia Czado"
1996,22,"Claudia Czado"
1996,22,"Axel Munk"
1996,54,"Martin Daumer"
1996,54,"M. Falk"
1996,54,"U. Beyer"
1996,14,"Ludwig Fahrmeir"
1996,14,"Leonhard Held"
1996,45,"Andreas Fieger"
1996,45,"Christian Heumann"
1996,45,"Christian Kastner"
1996,21,"Peter Geil"
1996,21,"Ralph Rotte"
1996,15,"Alfred Hamerle"
1996,15,"M. Moller"
1996,19,"Christian Heumann"
1996,47,"U. Hornsteiner"
1996,47,"Alfred Hamerle"
1996,41,"P. Johansson"
1996,41,"K. Brännäs"
1996,36,"Leonhard Held"
1996,27,"Helmut Küchenhoff"
1996,52,"Guohua Pan"
1996,52,"Thomas J. Santner"
1996,33,"Helmut Pruscha"
1996,28,"H. Rieder"
1996,51,"Thomas J. Santner"
1996,51,"Guohua Pan"
1996,50,"G. Schuster"
1996,43,"G. Schuster"
1996,37,"A. Schöpp"
1996,37,"Helge Toutenburg"
1996,46,"M. Spiess"
1996,46,"Alfred Hamerle"
1996,13,"M. Spiess"
1996,13,"Alfred Hamerle"
1996,29,"M. Stark"
1996,29,"Stefan Wagenpfeil"
1996,29,"H. Nekarda"
1996,48,"Markus Thamerus"
1996,38,"Helge Toutenburg"
1996,38,"Vinay Kumar Srivastava"
1996,38,"Andreas Fieger"
1996,39,"Kurt Ulm"
1996,39,"Felix Dannegger"
1996,39,"M. Spanier"
1996,17,"W. Vach"
1996,17,"S. Illi"
1996,18,"Michael R. Veall"
1996,18,"Klaus F. Zimmermann"
1996,32,"Stefan Wagenpfeil"
1996,20,"F. A. G. Windmeijer"
1996,20,"J. M. C. Santos Silva"
1996,53,"B. Winkler"
1996,24,"Andreas Ziegler"
1996,24,"Christian Kastner"
1996,24,"U. Grömping"
1996,24,"Maria Blettner"
1997,101,"Sibel Aydemir"
1997,101,"Clemens Biller"
1997,81,"Sibel Aydemir"
1997,81,"U. Hornsteiner"
1997,97,"Thomas Bauer"
1997,97,"Ralph Rotte"
1997,94,"L. Bellmann"
1997,94,"S. Bender"
1997,94,"U. Hornsteiner"
1997,88,"Clemens Biller"
1997,70,"Clemens Biller"
1997,73,"Angelika Caputo"
1997,73,"A. Heinicke"
1997,73,"Iris Pigeot"
1997,96,"Chi-Lun Cheng"
1997,96,"Hans Schneeweiß"
1997,72,"Felix Dannegger"
1997,95,"Martin Daumer"
1997,95,"C. Bauer"
1997,95,"C. Lederer"
1997,75,"V. Didelez"
1997,75,"Iris Pigeot"
1997,91,"Ludwig Fahrmeir"
1997,89,"Ludwig Fahrmeir"
